Id,logId,start_time,end_time,recorded_minutes,code_1_minutes,code_2_minutes,code_3_minutes
3977333714,11402582711,2016-04-15 02:05:00,2016-04-15 11:20:00,556,424,130,2
3977333714,11411726685,2016-04-16 00:10:30,2016-04-16 08:39:30,510,283,227,0
3977333714,11419539457,2016-04-17 00:21:00,2016-04-17 09:46:00,566,381,181,4
3977333714,11429723762,2016-04-18 01:04:00,2016-04-18 08:30:00,447,347,98,2
3977333714,11429723763,2016-04-18 15:20:00,2016-04-18 16:34:00,75,65,9,1
3977333714,11434580717,2016-04-19 01:58:30,2016-04-19 08:32:30,395,219,172,4
3977333714,11443226218,2016-04-20 04:52:00,2016-04-20 08:56:00,245,119,119,7
3977333714,11446881699,2016-04-20 12:15:30,2016-04-20 13:14:30,60,33,27,0
3977333714,11469011466,2016-04-20 23:34:00,2016-04-21 08:05:00,512,332,176,4
3977333714,11469011467,2016-04-22 01:43:30,2016-04-22 09:38:30,476,355,120,1
3977333714,11469011468,2016-04-23 01:24:00,2016-04-23 07:35:00,372,235,136,1
3977333714,11472659114,2016-04-24 00:28:00,2016-04-24 09:13:00,526,310,214,2
3977333714,11485514676,2016-04-25 01:15:00,2016-04-25 09:01:00,467,262,201,4
3977333714,11498178822,2016-04-26 03:06:00,2016-04-26 09:16:00,371,250,119,2
3977333714,11498330023,2016-04-27 00:39:00,2016-04-27 09:38:00,540,349,186,5
3977333714,11514103969,2016-04-28 02:41:00,2016-04-28 09:43:00,423,261,155,7
3977333714,11514103970,2016-04-29 00:27:00,2016-04-29 08:24:00,478,333,145,0
3977333714,11519611316,2016-04-30 00:20:00,2016-04-30 06:41:00,382,237,144,1
3977333714,11527687449,2016-04-30 22:38:00,2016-05-01 09:03:00,626,383,234,9
3977333714,11534635322,2016-05-02 00:52:00,2016-05-02 07:15:00,384,230,146,8
3977333714,11547934264,2016-05-03 00:52:30,2016-05-03 09:11:30,500,292,200,8
3977333714,11552949524,2016-05-04 02:36:30,2016-05-04 08:11:30,336,213,120,3
3977333714,11576380691,2016-05-05 00:51:00,2016-05-05 08:50:00,480,318,160,2
3977333714,11576380692,2016-05-06 00:39:30,2016-05-06 09:10:30,512,323,183,6
3977333714,11576380694,2016-05-07 01:07:00,2016-05-07 08:29:00,443,237,205,1
3977333714,11583910495,2016-05-08 02:10:00,2016-05-08 08:44:00,395,250,145,0
3977333714,11583910496,2016-05-08 14:03:30,2016-05-08 15:03:30,61,9,52,0
3977333714,11597457268,2016-05-10 00:46:00,2016-05-10 08:17:00,452,312,135,5
4020332650,11375838887,2016-04-11 21:17:00,2016-04-12 06:17:00,541,501,33,7
4020332650,11409992504,2016-04-16 01:31:00,2016-04-16 02:47:00,77,77,0,0
4020332650,11543765897,2016-05-02 23:12:00,2016-05-03 04:43:00,332,322,5,5
4020332650,11552754875,2016-05-03 23:28:30,2016-05-04 08:23:30,536,478,27,31
4020332650,11557855778,2016-05-05 00:36:00,2016-05-05 04:43:00,248,226,18,4
4020332650,11592141407,2016-05-06 00:27:30,2016-05-06 07:14:30,408,385,17,6
4020332650,11592141408,2016-05-08 00:37:00,2016-05-08 07:18:00,402,364,20,18
4020332650,11595616677,2016-05-09 23:26:00,2016-05-10 07:39:00,494,442,34,18
4319703577,11439308634,2016-04-13 22:33:00,2016-04-14 07:49:00,557,535,21,1
4319703577,11439308635,2016-04-14 23:28:30,2016-04-15 07:38:30,491,465,24,2
4319703577,11439308636,2016-04-16 00:10:30,2016-04-16 08:51:30,522,506,15,1
4319703577,11439308637,2016-04-17 22:46:00,2016-04-18 07:56:00,551,515,27,9
4319703577,11439308639,2016-04-18 22:49:00,2016-04-19 03:27:00,279,251,22,6
4319703577,11439308640,2016-04-19 03:37:30,2016-04-19 07:15:30,219,210,7,2
